----- Huffman Encoded Values ----
160 Code is: 0000000
70 Code is: 00000010
210 Code is: 00000011
120 Code is: 0000010
129 Code is: 0000011
95 Code is: 0000100
214 Code is: 00001010
247 Code is: 00001011
243 Code is: 0000110
121 Code is: 0000111
18 Code is: 000100
133 Code is: 0001010
71 Code is: 00010110
73 Code is: 00010111
19 Code is: 000110
130 Code is: 0001110
127 Code is: 0001111
20 Code is: 001000
118 Code is: 0010010
72 Code is: 00100110
32 Code is: 00100111
132 Code is: 0010100
189 Code is: 00101010
190 Code is: 00101011
237 Code is: 0010110
83 Code is: 0010111
93 Code is: 0011000
128 Code is: 0011001
94 Code is: 0011010
212 Code is: 00110110
74 Code is: 00110111
122 Code is: 0011100
240 Code is: 0011101
23 Code is: 001111
21 Code is: 010000
150 Code is: 01000100
45 Code is: 010001010
252 Code is: 010001011
126 Code is: 0100011
31 Code is: 01001000
149 Code is: 01001001
124 Code is: 0100101
92 Code is: 0100110
91 Code is: 0100111
123 Code is: 0101000
125 Code is: 0101001
46 Code is: 010101000
222 Code is: 010101001
75 Code is: 01010101
84 Code is: 0101011
246 Code is: 01011000
226 Code is: 01011001
47 Code is: 010110100
43 Code is: 010110101
187 Code is: 01011011
22 Code is: 010111
50 Code is: 011000000
53 Code is: 011000001
44 Code is: 011000010
41 Code is: 011000011
85 Code is: 0110001
188 Code is: 01100100
42 Code is: 011001010
223 Code is: 011001011
186 Code is: 01100110
49 Code is: 011001110
40 Code is: 011001111
30 Code is: 01101000
235 Code is: 01101001
86 Code is: 0110101
54 Code is: 011011000
51 Code is: 011011001
76 Code is: 01101101
151 Code is: 01101110
185 Code is: 01101111
26 Code is: 0111000
184 Code is: 01110010
52 Code is: 011100110
55 Code is: 011100111
106 Code is: 01110100
183 Code is: 01110101
148 Code is: 01110110
110 Code is: 01110111
90 Code is: 0111100
48 Code is: 011110100
220 Code is: 011110101
109 Code is: 01111011
111 Code is: 01111100
245 Code is: 01111101
221 Code is: 011111100
39 Code is: 011111101
202 Code is: 011111110
11 Code is: 0111111110000
254 Code is: 0111111110001
12 Code is: 011111111001
13 Code is: 01111111101
253 Code is: 0111111111
238 Code is: 10000000
152 Code is: 10000001
29 Code is: 10000010
108 Code is: 10000011
236 Code is: 10000100
77 Code is: 10000101
196 Code is: 100001100
203 Code is: 100001101
145 Code is: 10000111
88 Code is: 1000100
87 Code is: 1000101
144 Code is: 10001100
251 Code is: 100011010
219 Code is: 100011011
147 Code is: 10001110
78 Code is: 10001111
103 Code is: 10010000
79 Code is: 10010001
16 Code is: 1001001
153 Code is: 10010100
146 Code is: 10010101
105 Code is: 10010110
14 Code is: 100101110
60 Code is: 100101111
244 Code is: 10011000
154 Code is: 10011001
228 Code is: 10011010
56 Code is: 100110110
57 Code is: 100110111
25 Code is: 1001110
227 Code is: 10011110
113 Code is: 10011111
156 Code is: 10100000
114 Code is: 10100001
80 Code is: 10100010
102 Code is: 10100011
15 Code is: 10100100
230 Code is: 10100101
59 Code is: 101001100
36 Code is: 101001101
107 Code is: 10100111
142 Code is: 10101000
155 Code is: 10101001
104 Code is: 10101010
112 Code is: 10101011
38 Code is: 101011000
58 Code is: 101011001
143 Code is: 10101101
180 Code is: 10101110
182 Code is: 10101111
141 Code is: 10110000
181 Code is: 10110001
37 Code is: 101100100
194 Code is: 101100101
195 Code is: 101100110
218 Code is: 101100111
201 Code is: 101101000
193 Code is: 101101001
192 Code is: 101101010
61 Code is: 101101011
115 Code is: 10110110
249 Code is: 101101110
215 Code is: 101101111
239 Code is: 10111000
234 Code is: 10111001
229 Code is: 10111010
233 Code is: 10111011
197 Code is: 101111000
217 Code is: 101111001
157 Code is: 10111101
89 Code is: 1011111
101 Code is: 11000000
179 Code is: 11000001
170 Code is: 11000010
211 Code is: 110000110
200 Code is: 110000111
158 Code is: 11000100
173 Code is: 11000101
216 Code is: 110001100
250 Code is: 110001101
134 Code is: 11000111
35 Code is: 110010000
204 Code is: 110010001
159 Code is: 11001001
165 Code is: 11001010
63 Code is: 110010110
205 Code is: 110010111
199 Code is: 110011000
62 Code is: 110011001
167 Code is: 11001101
164 Code is: 11001110
241 Code is: 11001111
28 Code is: 11010000
174 Code is: 11010001
231 Code is: 11010010
177 Code is: 11010011
66 Code is: 110101000
213 Code is: 110101001
100 Code is: 11010101
140 Code is: 11010110
169 Code is: 11010111
168 Code is: 11011000
166 Code is: 11011001
171 Code is: 11011010
162 Code is: 11011011
81 Code is: 11011100
64 Code is: 110111010
224 Code is: 110111011
136 Code is: 11011110
138 Code is: 11011111
172 Code is: 11100000
139 Code is: 11100001
176 Code is: 11100010
175 Code is: 11100011
99 Code is: 11100100
242 Code is: 11100101
17 Code is: 1110011
34 Code is: 111010000
198 Code is: 111010001
97 Code is: 11101001
67 Code is: 111010100
69 Code is: 111010101
178 Code is: 11101011
137 Code is: 11101100
116 Code is: 11101101
209 Code is: 111011100
68 Code is: 111011101
131 Code is: 11101111
96 Code is: 11110000
163 Code is: 11110001
191 Code is: 111100100
225 Code is: 111100101
82 Code is: 11110011
135 Code is: 11110100
232 Code is: 11110101
65 Code is: 111101100
207 Code is: 111101101
161 Code is: 11110111
117 Code is: 11111000
206 Code is: 111110010
248 Code is: 111110011
24 Code is: 1111101
119 Code is: 11111100
98 Code is: 11111101
33 Code is: 111111100
208 Code is: 111111101
27 Code is: 11111111
